year,player,week_start,week_end
2019,Shane Lowry,2019-07-14,2019-07-21
2018,Francesco Molinari,2018-07-15,2018-07-22
2017,Jordan Spieth,2017-07-16,2017-07-23
2016,Henrik Stenson,2016-07-10,2016-07-17
2015,Zach Johnson,2015-07-12,2015-07-19
2014,Rory McIlroy,2014-07-13,2014-07-20
2013,Phil Mickelson,2013-07-14,2013-07-21
2012,Ernie Els,2012-07-15,2012-07-22
2011,Darren Clarke,2011-07-10,2011-07-17
2010,Louis Oosthuizen,2010-07-11,2010-07-18
2009,Stewart Cink,2009-07-12,2009-07-19
2008,Padraig Harrington,2008-07-13,2008-07-20
2007,Padraig Harrington,2007-07-15,2007-07-22
2006,Tiger Woods,2006-07-16,2006-07-23
2005,Tiger Woods,2005-07-10,2005-07-17
2004,Todd Hamilton,2006-07-16,2006-07-23
2003,Ben Curtis,2005-07-10,2005-07-17
2002,Ernie Els,2002-07-14,2002-07-21
2001,David Duval,2001-07-15,2001-07-22
2000,Tiger Woods,2000-07-16,2000-07-23
1999,Paul Lawrie,1999-07-11,1999-07-18
1998,Mark O'Meara,1998-07-12,1998-07-19
1997,Justin Leonard,1997-07-13,1997-07-20
1996,Tom Lehman,1996-07-14,1996-07-21
1995,John Daly,1995-07-16,1995-07-23
1994,Nick Price,1994-07-10,1994-07-17
1993,Greg Norman,1993-07-11,1993-07-18
1992,Nick Faldo,1992-07-12,1992-07-19
1991,Ian Baker-Finch,1991-07-14,1991-07-21
1990,Nick Faldo,1990-07-15,1990-07-22
1989,Mark Calcavecchia,1989-07-16,1989-07-23
1988,Seve Ballesteros,1988-07-11,1988-07-18
1987,Nick Faldo,1987-07-12,1987-07-19
1986,Greg Norman,1986-07-13,1986-07-20
