year,player,week_start,week_end
2019,Tiger Woods,2019-04-07,2019-04-14
2018,Patrick Reed,2018-04-01,2018-04-08
2017,Sergio Garcia,2017-04-02,2017-04-09
2016,Danny Willett,2016-04-03,2016-04-10
2015,Jordan Spieth,2015-04-05,2015-04-12
2014,Bubba Watson,2014-04-06,2014-04-13
2013,Adam Scott,2013-04-07,2013-04-14
2012,Bubba Watson,2012-04-01,2012-04-08
2011,Charl Schwartzel,2011-04-03,2011-04-10
2010,Phil Mickelson,2010-04-04,2010-04-11
2009,Angel Cabrera,2009-04-05,2009-04-12
2008,Trevor Immelman,2008-04-06,2008-04-13
2007,Zach Johnson,2007-04-01,2007-04-08
2006,Phil Mickelson,2006-04-02,2006-04-09
2005,Tiger Woods,2005-04-03,2005-04-10
2004,Phil Mickelson,2004-04-04,2004-04-11
2003,Mike Weir,2003-04-06,2003-04-13
2002,Tiger Woods,2002-04-07,2002-04-14
2001,Tiger Woods,2001-04-01,2001-04-08
2000,Vijay Singh,2000-04-02,2000-04-09
1999,Jose M Olazabal,1999-04-04,1999-04-11
1998,Mark O'Meara,1998-04-05,1998-04-12
1997,Tiger Woods,1997-04-06,1997-04-13
1996,Nick Faldo,1996-04-07,1996-04-14
1995,Ben Crenshaw,1995-04-02,1995-04-09
1994,Jose M Olazabal,1994-04-03,1994-04-10
1993,Bernhard Langer,1993-04-04,1993-04-11
1992,Fred Couples,1992-04-05,1992-04-12
1991,Ian Woosnam,1991-04-07,1991-04-14
1990,Nick Faldo,1990-04-01,1990-04-08
1989,Nick Faldo,1989-04-02,1989-04-09
1988,Sandy Lyle,1988-04-03,1988-04-10
1987,Larry Mize,1987-04-05,1987-04-12
1986,Jack Nicklaus,1987-04-06,1987-04-13
