name,player_id
Dustin Johnson,12422
Jon Rahm,19195
Justin Thomas,14139
Collin Morikawa,22085
Rory McIlroy,10091
Bryson DeChambeau,19841
Xander Schauffele,19895
Webb Simpson,11049
Patrick Cantlay,15466
Tyrrell Hatton,14796
Patrick Reed,14838
Brooks Koepka,16243
Matthew Wolff,25919
Daniel Berger,17606
Adam Scott,6430
Tommy Fleetwood,12294
Tony Finau,11676
Louis Oosthuizen,7672
Matthew Fitzpatrick,17646
Hideki Matsuyama,13562
Abraham Ancer,18238
Paul Casey,7108
Sungjae Im,17488
Viktor Hovland,18841
Jason Kokrak,12337
Justin Rose,6093
Marc Leishman,7649
Matt Kuchar,6169
Tiger Woods,5321
Scottie Scheffler,18417
Shane Lowry,13900
Gary Woodland,12577
Ryan Palmer,7820
Kevin Kisner,11328
Harris English,14577
Victor Perez,20730
Bernd Wiesberger,9531
Billy Horschel,11276
Kevin Na,7452
Sergio Garcia,5689
Brendon Todd,12425
Joaquin Niemann,18079
Jason Day,9771
Cameron Smith,15856
Lee Westwood,4052
Bubba Watson,7334
Rickie Fowler,12965
Ian Poulter,1435
Kevin Streelman,8480
Chez Reavie,7961
Matt Wallace,20706
Erik van Rooyen,17550
Mackenzie Hughes,15556
Henrik Stenson,5994
Lanto Griffin,15330
Danny Willett,12920
Christiaan Bezuidenhout,18103
Joel Dahmen,14509
Will Zalatoris,19428
Sebastian J Munoz,20770
Phil Mickelson,1547
Russell Henley,14578
Byeong Hun An,14459
J.T. Poston,21554
Graeme McDowell,7548
Tom Lewis,15164
Jazz Janewattananond,14368
Corey Conners,17576
Andy Sullivan,15326
Adam Hadwin,13965
Cameron Champ,23542
Lucas Herbert,17064
Shugo Imahira,13485
Rasmus Hojgaard,23838
Jordan Spieth,14636
Sunghoon Kang,7881
Adam Long,15473
Rafa Cabrera Bello,7457
Aaron Rai,18554
Thomas Pieters,13944
Francesco Molinari,7655
Brandt Snedeker,8820
Martin Kaymer,8117
Martin Laird,9586
Doc Redman,24481
Thomas Detry,14181
Siwoo Kim,14609
Alex Noren,10419
George Coetzee,10884
Brian Harman,8825
John Catlin,18524
Sam Horsfield,19866
Max Homa,17538
Sami Valimaki,23816
Dylan Frittelli,11955
Charles Howell III,6892
Ryo Ishikawa,12232
Harry Higgs,14140
Shaun Norris,7677
Robert MacIntyre,23323
Jim Herman,12846
Matthias Schwab,15016
Eddie Pepperell,15113
Marcus Kinhult,18514
Mike Lorenzo-Vera,9675
Rikuya Hoshino,19190
Rory Sabbatini,6283
Talor Gooch,18580
Matt Jones,8605
Romain Langasque,16652
Brendan Steele,11019
Nate Lashley,10943
Lucas Glover,7399
Jorge Campillo,14016
Michael Thompson,12946
Danny Lee,11826
Garrick Higgo,24342
Taylor Pendrith,17780
Chan Kim,15004
Harold Varner III,16602
Keegan Bradley,13872
Kurt Kitayama,21891
Benjamin Hebert,12213
Branden Grace,11952
Mark Hubbard,16333
Joohyung Kim(June2002),24766
Paul Waring(Feb1985),12426
Zach Johnson,6986
Richy Werenski,19364
Nick Taylor,13126
Haotong Li,15310
Andrew Landry,14000
Brad Kennedy,6287
Tom Hoge,15575
Justin Harding,10886
Tyler Duncan(Jul1989),18187
Joost Luiten,10158
Renato Paratore,16549
Adri Arnaus,23236
Troy Merritt,13367
Charley Hoffman,5768
Junggon Hwang,14936
Scott Piercy,7899
Ryan Moore,7489
