year,player,week_start,week_end
2020,Bryson DeChambeau,2020-09-13,2020-09-20
2019,Gary Woodland,2019-06-09,2019-06-16
2018,Brooks Koepka,2018-06-10,2018-06-17
2017,Brooks Koepka,2017-06-11,2017-06-18
2016,Dustin Johnson,2016-06-12,2016-06-19
2015,Jordan Spieth,2015-06-14,2015-06-21
2014,Martin Kaymer,2014-06-08,2014-06-15
2013,Justin Rose,2013-06-09,2013-06-16
2012,Webb Simpson,2012-06-10,2012-06-17
2011,Rory McIlroy,2011-06-12,2011-06-19
2010,Graeme McDowell,2010-06-13,2010-06-20
2009,Lucas Glover,2009-06-14,2009-06-21
2008,Tiger Woods,2008-06-08,2008-06-15
2007,Angel Cabrera,2007-06-10,2007-06-17
2006,Geoff Ogilvy,2006-06-11,2006-06-18
2005,Michael Campbell,2005-06-12,2005-06-19
2004,Retief Goosen,2004-06-13,2004-06-20
2003,Jim Furyk,2003-06-08,2003-06-15
2002,Tiger Woods,2002-06-09,2002-06-16
2001,Retief Goosen,2001-06-10,2001-06-17
2000,Tiger Woods,2000-06-11,2000-06-18
1999,Payne Stewart,1999-06-13,1999-06-20
1998,Lee Janzen,1998-06-14,1998-06-21
1997,Ernie Els,1997-06-08,1997-06-15
1996,Steve Jones,1996-06-09,1996-06-16
1995,Corey Pavin,1995-06-11,1995-06-18
1994,Ernie Els,1994-06-12,1994-06-19
1993,Lee Janzen,1993-06-13,1993-06-20
1992,Tom Kite,1992-06-14,1992-06-21
1991,Payne Stewart,1991-06-09,1991-06-16
1990,Hale Irwin,1990-06-10,1990-06-17
1989,Curtis Strange,1989-06-11,1989-06-18
1988,Curtis Strange,1988-06-13,1989-06-20
1987,Scott Simpson,1987-06-14,1987-06-21
1986,Raymond Floyd,1986-06-08,1986-06-15
