year,player,week_start,week_end
2020,Collin Morikawa,2020-08-02,2020-08-09
2019,Brooks Koepka,2019-05-12,2019-05-19
2018,Brooks Koepka,2018-05-06,2018-05-13
2017,Justin Thomas,2017-05-07,2017-05-14
2016,Jimmy Walker,2016-05-08,2016-05-15
2015,Jason Day,2015-05-03,2015-05-10
2014,Rory McIlroy,2014-05-04,2014-05-11
2013,Jason Dufner,2013-08-04,2013-08-11
2012,Rory McIlroy,2012-08-05,2012-08-12
2011,Keegan Bradley,2011-08-07,2011-08-14
2010,Martin Kaymer,2010-08-08,2010-08-15
2009,Y.E. Yang,2009-08-09,2009-08-16
2008,Padraig Harrington,2008-08-03,2008-08-10
2007,Tiger Woods,2007-08-05,2007-08-12
2006,Tiger Woods,2006-08-13,2006-08-20
2005,Phil Mickelson,2005-08-07,2005-08-14
2004,Vijay Singh,2004-08-08,2004-08-15
2003,Shaun Micheel,2003-08-10,2003-08-17
2002,Rich Beem,2002-08-11,2002-08-18
2001,David Toms,2001-08-12,2001-08-19
2000,Tiger Woods,2000-08-13,2000-08-20
1999,Tiger Woods,1999-08-08,1999-08-15
1998,Vijay Singh,1998-08-09,1998-08-16
1997,Davis Love III,1997-08-10,1997-08-17
1996,Mark Brooks,1996-08-04,1996-08-11
1995,Steve Elkington,1995-08-06,1995-08-13
1994,Nick Price,1994-08-07,1994-08-14
1993,Paul Azinger,1993-08-08,1993-08-15
1992,Nick Price,1992-08-09,1992-08-16
1991,John Daly,1991-08-04,1991-08-11
1990,Wayne Grady,1990-08-05,1990-08-12
1989,Payne Stewart,1989-08-06,1989-08-13
1988,Jeff Sluman,1988-08-07,1988-08-14
1987,Larry Nelson,1987-08-02,1987-08-09
1986,Bob Tway,1986-08-04,1986-08-11
